id,latitude,longitude,propertyType,priceChangePercentTotal,energyClass,price,rooms,size,lotSize,floor,buildYear,city,zipCode,street,squaremeterPrice,basementSize
1823638,55.68411,12.48894,3,0,D,2750000,3,64,0,2,1938,Vanløse,2720,Flakholmen 26  2. th.,42968,0
1823390,55.6658,12.6172,3,0,C,2795000,2,62,0,3,1939,København S,2300,"Bremensgade 33, 3. th.",45080,0
1823699,55.72251,12.54167,3,0,C,2795000,3,103,0,3,1979,København NV,2400,"Emdrupvej 111, 3. 8.",27135,0
1823404,55.66132,12.6228,3,0,D,2895000,2,62,0,3,1932,København S,2300,"Øresundsvej 112, 3 tv",46693,0
1823685,55.65795,12.62105,3,0,E,2895000,2,52,0,1,1940,København S,2300,"Florensvej 12, 1. tv.",55673,0
1823408,55.6881,12.50568,3,0,C,2995000,2,65,0,1,1936,Frederiksberg,2000,"C.F. Richs Vej 108, 1 th",46076,0
1823376,55.68675,12.52783,3,-1,C,3250000,2,58,0,1,1956,Frederiksberg,2000,"Guldborgvej 30, 1. TV",56034,0
1823412,55.6622,12.60515,3,0,D,3350000,3,60,0,3,1940,København S,2300,"Reberbanegade 13, 3 tv",55833,0
1823509,55.66981,12.54739,3,0,D,3495000,2,56,0,5,1970,København V,1666,Matthæusgade 46B  5. 553.,62410,0
1823711,55.64611,12.59543,1,0,-,3495000,2,56,199,,1952,København S,2300,Cedergangen 34,62410,0
1823280,55.70748,12.58423,3,0,C,3795000,2,69,0,,1916,København Ø,2100,"Silkeborggade 45, st. tv.",55000,0
1823400,55.65972,12.58864,3,0,C,3895000,2,76,0,4,2005,København S,2300,"Rued Langgaards Vej 25, 4 mf",51250,0
